	PTN	price	sale price
0	5.0	44.5	51.5
1	1.0	21.5	21.5
2	2.0	30	30
3	90.0	6.5	6.5
4	0.0	19.5	19.5
5	3.0	15	22.5
6	72.0	30	30
7	7.0	30	30
8	89.0	30	36
9	6.0	34	41.5
10	134.0	36	36
12	51.0	7	7
13	166.0	37	41.5
14	78.0	25.5	37.5
15	115.0	30	36
16	42.0	36	36
17	119.0	7.5	7.5
18	37.0	16.5	19
19	38.0	44.5	51.5
20	49.0	37	44
21	4.0	56	63
22	152.0	36	36
23	462.0	2.5	2.5
24	73.0	16	21.5
25	107.0	30	36
26	114.0	36	36
27	80.0	19	24.5
29	118.0	7.5	9
30	137.0	7.5	7.5
31	77.0	14.5	14.5
32	192.0	5.5	5.5
33	15.0	19	24.5
34	190.0	51.5	51.5
35	141.0	4.5	6
36	101.0	21	27
37	155.0	44.5	51.5
38	159.0	41.5	41.5
39	75.0	30	37.5
40	259.0	36	36
41	193.0	37	52
42	527.0	13.5	14.5
44	100.0	15	22.5
45	109.0	30	36
47	161.0	36	36
48	111.0	37	44
49	167.0	41.5	41.5
51	124.0	21.5	21.5
52	23.0	66.5	73.5
53	65.0	21	30
54	106.0	34	41.5
55	17.0	22.5	22.5
56	102.0	44.5	51.5
57	126.0	36	36
58	140.0	21	21
59	181.0	33	33
60	287.0	36	36
61	263.0	41.5	41.5
65	571.0	80	89
66	575.0	252	279
67	669.0	21.5	21.5
68	1218.0	44	44
70	70.0	28.5	28.5
71	289.0	44	44
73	628.0	12	12
74	632.0	6.5	6.5
75	211.0	37.5	37.5
77	212.0	148.5	148.5
79	546.0	51.5	51.5
80	359.0	29.5	44
81	86.0	44	44
82	105.0	21.5	21.5
83	220.0	33.5	33.5
84	125.0	36.5	36.5
86	529.0	25	29
88	244.0	73.5	73.5
89	720.0	36.5	36.5
90	108.0	30	36
91	495.0	25	29
92	50.0	6.5	6.5
93	113.0	36	36
94	185.0	44.5	51.5
95	247.0	74	81
96	319.0	36	36
97	295.0	36.5	36.5
98	510.0	21.5	21.5
99	251.0	41.5	41.5
100	164.0	44.5	51.5
102	1185.0	36	36
103	1146.0	41.5	41.5
104	1147.0	37	41.5
107	103.0	59	66
108	670.0	21.5	21.5
110	837.0	59	73.5
111	843.0	44.5	59
112	195.0	29.5	44.5
113	256.0	30	36
114	838.0	59	73.5
117	147.0	22.5	22.5
118	69.0	25	29
119	45.0	37	44
121	96.0	36	36
122	630.0	12	12
123	1230.0	47.5	47.5
124	1242.0	34	42.5
125	368.0	72.5	87
126	260.0	44	44
127	186.0	51.5	51.5
128	194.0	22.5	30
129	26.0	30	37.5
130	110.0	29.5	36.5
132	142.0	22.5	22.5
133	250.0	34	41.5
134	184.0	51.5	51.5
135	662.0	36.5	36.5
136	572.0	41.5	41.5
137	360.0	30	33
138	203.0	10.5	12
139	576.0	44.5	51.5
140	834.0	102	102
142	574.0	212	234.5
143	440.0	25	29
144	206.0	37.5	37.5
145	165.0	44.5	51.5
146	189.0	44.5	51.5
148	366.0	29.5	36.5
149	498.0	59	72
151	500.0	59	72
152	1233.0	59	59
153	1231.0	47.5	47.5
154	361.0	26.5	29
156	122.0	37.5	37.5
157	253.0	41.5	41.5
158	120.0	30	30
159	213.0	37.5	37.5
160	664.0	16.5	19
161	631.0	12	12
162	136.0	34	42.5
163	258.0	36	36
164	358.0	26.5	36.5
165	656.0	21.5	21.5
166	255.0	44	44
167	214.0	148.5	148.5
169	246.0	81	81
173	874.0	17.5	29
175	11.0	36.5	36.5
176	210.0	148.5	148.5
178	490.0	33.5	33.5
179	1241.0	34	42.5
181	362.0	15	19
182	245.0	74	81
183	249.0	63	63
186	868.0	14.5	24.5
187	1227.0	14.5	24.5
188	367.0	25	33.5
189	661.0	30	37.5
190	770.0	29.5	36.5
191	488.0	33.5	33.5
193	550.0	44	44
194	183.0	44.5	51.5
197	523.0	25	36.5
199	485.0	29	29
200	709.0	19	21.5
205	820.0	42.5	42.5
207	1179.0	29.5	44
208	649.0	44.5	51.5
209	52.0	29	29
210	526.0	27	27
212	363.0	44	44
215	1226.0	14.5	24.5
217	833.0	200.5	245
220	1018.0	37	44
221	880.0	33.5	33.5
225	1145.0	33	33
226	871.0	14.5	24.5
227	254.0	37	44
229	486.0	29	29
230	872.0	14.5	24.5
231	870.0	14.5	24.5
233	1221.0	44	44
234	876.0	17.5	29
238	497.0	72	72
239	252.0	34	41.5
242	869.0	14.5	24.5
243	1223.0	13	36.5
244	364.0	44.5	53.5
245	577.0	19	19
246	1222.0	13	52
247	549.0	48.5	48.5
248	1224.0	13	52
249	492.0	33.5	33.5
250	209.0	37.5	37.5
251	528.0	22.5	22.5
255	135.0	35.5	44
257	553.0	51.5	51.5
259	840.0	59	73.5
261	836.0	33.5	33.5
262	675.0	19	19
263	629.0	12	12
265	1220.0	37	44
266	835.0	130.5	130.5
267	204.0	37.5	37.5
269	522.0	44.5	48.5
272	1247.0	29.5	44.5
274	487.0	29	29
275	554.0	57.5	57.5
277	821.0	36.5	36.5
278	573.0	172	190
279	1299.0	44.5	51.5
280	365.0	29.5	36.5
282	878.0	17.5	29
284	138.0	37.5	37.5
285	718.0	100.5	110.5
287	839.0	59	73.5
288	541.0	48.5	48.5
290	545.0	19	24.5
291	558.0	59	59
292	139.0	296.5	296.5
293	627.0	2.5	2.5
295	121.0	259.5	259.5
296	208.0	59	86
297	762.0	24.5	24.5
298	1232.0	59	59
299	653.0	33	33
301	261.0	36	36
304	233.0	63	63
305	293.0	10.5	24
307	499.0	72	72
308	335.0	36	36
309	763.0	29.5	36.5
310	123.0	296.5	296.5
312	845.0	44.5	59
314	1219.0	37	44
315	755.0	36	36
316	489.0	33.5	33.5
317	741.0	36.5	36.5
318	205.0	296.5	296.5
320	663.0	16.5	19
322	751.0	29.5	44
323	544.0	22	24.5
325	143.0	222.5	222.5
326	761.0	24.5	24.5
328	565.0	116	116
329	1172.0	51.5	51.5
331	769.0	37	44
332	666.0	52	59
335	1235.0	54.5	54.5
337	667.0	66.5	73.5
338	564.0	130.5	130.5
340	133.0	41.5	47.5
